VALUE,long,lat
6.20848942,32.917,51.75
6.33825016,33.083,51.75
6.45144796,33.250,51.75
6.39233303,33.417,51.75
6.25826073,33.583,51.75
6.20820856,33.750,51.75
6.22269821,33.917,51.75
6.22552109,34.083,51.75
6.30401039,34.250,51.75
6.30947924,34.417,51.75
6.27874994,34.583,51.75
7.49779177,23.417,51.5833333333333
7.52757263,23.583,51.5833333333333
7.42278099,23.750,51.5833333333333
7.39909363,23.917,51.5833333333333
7.31264591,24.083,51.5833333333333
7.27734375,24.250,51.5833333333333
7.22441673,24.417,51.5833333333333
7.19108343,24.583,51.5833333333333
7.27496862,24.750,51.5833333333333
7.41091681,24.917,51.5833333333333
7.47398949,25.083,51.5833333333333
7.61655188,25.250,51.5833333333333
7.71697903,25.417,51.5833333333333
7.70186472,25.583,51.5833333333333
7.67887497,25.750,51.5833333333333
7.64054155,25.917,51.5833333333333
7.52038527,26.083,51.5833333333333
7.39503145,26.250,51.5833333333333
7.27978134,26.417,51.5833333333333
7.28371906,26.583,51.5833333333333
7.18534374,26.750,51.5833333333333
6.95726061,26.917,51.5833333333333
6.83725023,27.083,51.5833333333333
6.68624973,27.250,51.5833333333333
6.55439568,27.417,51.5833333333333
6.41116667,27.583,51.5833333333333
6.32083321,27.750,51.5833333333333
6.34496880,27.917,51.5833333333333
6.33848953,28.083,51.5833333333333
6.36796856,28.250,51.5833333333333
6.41722918,28.417,51.5833333333333
6.52059364,28.583,51.5833333333333
6.65855217,28.750,51.5833333333333
6.74392700,28.917,51.5833333333333
6.80744791,29.083,51.5833333333333
6.87727070,29.250,51.5833333333333
6.90204144,29.417,51.5833333333333
6.92939568,29.583,51.5833333333333
6.96001053,29.750,51.5833333333333
6.95215607,29.917,51.5833333333333
6.88607264,30.083,51.5833333333333
6.86377096,30.250,51.5833333333333
6.88281250,30.417,51.5833333333333
6.92574978,30.583,51.5833333333333
6.71703148,30.750,51.5833333333333
6.63261461,30.917,51.5833333333333
6.67615652,31.083,51.5833333333333
6.79605198,31.250,51.5833333333333
6.79372931,31.417,51.5833333333333
6.77999973,31.583,51.5833333333333
6.68330193,31.750,51.5833333333333
6.60773945,31.917,51.5833333333333
6.55230188,32.083,51.5833333333333
6.58279181,32.250,51.5833333333333
6.55254173,32.417,51.5833333333333
6.56963539,32.583,51.5833333333333
6.53904200,32.750,51.5833333333333
6.53186464,32.917,51.5833333333333
6.54553127,33.083,51.5833333333333
6.51629162,33.250,51.5833333333333
6.42355204,33.417,51.5833333333333
6.32115650,33.583,51.5833333333333
6.30240631,33.750,51.5833333333333
6.42966652,33.917,51.5833333333333
6.43085432,34.083,51.5833333333333
6.38011456,34.250,51.5833333333333
6.40698957,34.417,51.5833333333333
7.48209381,23.583,51.4166666666667
7.46001053,23.750,51.4166666666667
7.39041662,23.917,51.4166666666667
7.31135416,24.083,51.4166666666667
7.24246883,24.250,51.4166666666667
7.19406271,24.417,51.4166666666667
7.17559385,24.583,51.4166666666667
7.31701040,24.750,51.4166666666667
7.40064573,24.917,51.4166666666667
7.50870848,25.083,51.4166666666667
7.68267727,25.250,51.4166666666667
7.78476048,25.417,51.4166666666667
7.81555223,25.583,51.4166666666667
7.75855207,25.750,51.4166666666667
7.72293758,25.917,51.4166666666667
7.57344770,26.083,51.4166666666667
7.45412493,26.250,51.4166666666667
7.43728113,26.417,51.4166666666667
7.39835405,26.583,51.4166666666667
7.22716665,26.750,51.4166666666667
6.98336458,26.917,51.4166666666667
6.82573986,27.083,51.4166666666667
6.64045811,27.250,51.4166666666667
6.48523951,27.417,51.4166666666667
6.28539610,27.583,51.4166666666667
6.17760420,27.750,51.4166666666667
6.21828127,27.917,51.4166666666667
6.20216656,28.083,51.4166666666667
6.10491657,28.250,51.4166666666667
6.26605225,28.417,51.4166666666667
6.40431261,28.583,51.4166666666667
6.54701042,28.750,51.4166666666667
6.65287495,28.917,51.4166666666667
6.69557285,29.083,51.4166666666667
6.74165630,29.250,51.4166666666667
6.75830221,29.417,51.4166666666667
6.81662512,29.583,51.4166666666667
6.88519812,29.750,51.4166666666667
7.01528120,29.917,51.4166666666667
7.14648962,30.083,51.4166666666667
7.09982300,30.250,51.4166666666667
7.04772902,30.417,51.4166666666667
7.10053110,30.583,51.4166666666667
6.94631243,30.750,51.4166666666667
6.87142706,30.917,51.4166666666667
6.86633301,31.083,51.4166666666667
6.96768761,31.250,51.4166666666667
6.89688540,31.417,51.4166666666667
6.87764597,31.583,51.4166666666667
6.85243750,31.750,51.4166666666667
6.78029156,31.917,51.4166666666667
6.74699974,32.083,51.4166666666667
